Module,Dependency,License,Url
notarization-server,io.springfox:springfox-core:3.0.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,io.swagger.core.v3:swagger-annotations:2.1.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.html
notarization-server,org.glassfish:jakarta.el:3.0.4,EPL 2.0,http://www.eclipse.org/legal/epl-2.0
notarization-server,org.glassfish:jakarta.el:3.0.4,GPL2 w/ CPE,https://www.gnu.org/software/classpath/license.html
notarization-server,com.googlecode.json-simple:json-simple:1.1.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,io.swagger.core.v3:swagger-models:2.1.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.html
notarization-server,org.springframework:spring-jcl:5.3.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.openapitools:jackson-databind-nullable:0.2.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.hateoas:spring-hateoas:1.2.11,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.springframework:spring-context-support:5.3.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,com.auth0:java-jwt:3.8.0,The MIT License (MIT),https://raw.githubusercontent.com/auth0/java-jwt/master/LICENSE
notarization-server,org.springframework.security:spring-security-crypto:5.4.9,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.boot:spring-boot-starter-security:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,com.google.guava:failureaccess:1.0.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.ow2.asm:asm:5.0.4,BSD,http://asm.objectweb.org/license.html
notarization-server,io.springfox:springfox-swagger2:3.0.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.boot:spring-boot:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,com.sun.activation:jakarta.activation:1.2.2,EDL 1.0,http://www.eclipse.org/org/documents/edl-v10.php
notarization-server,com.jayway.jsonpath:json-path:2.4.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework:spring-tx:5.3.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.springframework.cloud:spring-cloud-starter:3.0.5,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,io.swagger:swagger-annotations:1.5.20,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.html
notarization-server,org.springframework.cloud:spring-cloud-context:3.0.5,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.springframework:spring-expression:5.3.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,io.springfox:springfox-data-rest:3.0.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.boot:spring-boot-starter-tomcat:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.yaml:snakeyaml:1.27,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,io.github.openfeign.form:feign-form:3.8.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.apache.tomcat:tomcat-annotations-api:9.0.55,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,jakarta.annotation:jakarta.annotation-api:1.3.5,EPL 2.0,http://www.eclipse.org/legal/epl-2.0
notarization-server,jakarta.annotation:jakarta.annotation-api:1.3.5,GPL2 w/ CPE,https://www.gnu.org/software/classpath/license.html
